spell_id	name	description_source	description
185311	Crimson Vial	api	Drink an alchemical concoction that heals you for 20% of your maximum health over 4 sec.
185313	Shadow Dance	api	Allows use of all Stealth abilities and grants all the combat benefits of Stealth for 6 sec. Effect not broken from taking damage or attacking.
185314	Deepening Shadows	api	Shadow Dance duration is increased by 150% of your Haste stat.\n\nCurrent bonus duration: 0.00 sec
185358	Arcane Shot	api	A quick shot that causes 95 Arcane damage.
185438	Shadowstrike	api	Strike the target, dealing 198 Physical damage.\n\nWhile Stealthed, you strike through the shadows and appear behind your target up to 25 yds away, dealing 25% additional damage.\n\nAwards 2 combo points.
185565	Poisoned Knife	api	Throws a poison-coated knife, dealing 8 damage and applying your active Lethal and Non-Lethal Poisons.\n\nAwards 1 combo point.
185763	Pistol Shot	api	Draw a concealed pistol and fire a quick shot at an enemy, dealing 28 Physical damage and reducing the target's movement speed by 30% for 6 sec.\n\nAwards 1 combo point.
186257	Aspect of the Cheetah	api	Increases your movement speed by 90% for 3 sec. Upon expiring, increases your movement speed by 30% for another 9 sec.
186265	Aspect of the Turtle	api	Causes all spells and attacks to miss and reduces all damage you take by 30% for 8 sec, but you cannot attack.
186270	Raptor Strike	api	A vicious slash dealing 139 Physical damage.
186289	Aspect of the Eagle	api	Increases the range of your Raptor Strike and Mastery: Spirit Bond to 40 yds for 15 sec.
187394	Chaos Barrage	api	Deals 52 Chaos damage.
187650	Freezing Trap	api	Hurls a frost trap to the target location that incapacitates the first enemy that approaches for 1 min. Damage may break the effect. Limit 1. Trap will exist for 1 min.
187698	Tar Trap	api	Hurls a tar trap to the target location that creates a 8 yd radius pool of tar around itself for 30 sec when the first enemy approaches. All enemies have 50% reduced movement speed while in the area of effect. Limit 1. Trap will exist for 1 min.
187707	Muzzle	api	Interrupts spellcasting, preventing any spell in that school from being cast for 5 sec.
187874	Crash Lightning	api	Electrocutes all enemies in front of you, dealing 63 Nature damage. \n\nEnhances your weapons for 12 sec, causing Stormstrike and Lava Lash to discharge 34 Nature damage split between up to 5 enemies in front of you.
187880	Maelstrom Weapon	api	When you deal damage with a melee weapon, you have a chance to generate Maelstrom Weapon, stacking up to 5 times. \n\nEach stack of Maelstrom Weapon reduces the cast time of your next Lightning Bolt or Chain Lightning by 20% and increases its damage by 20%.
188196	Lightning Bolt	api	Hurls a bolt of lightning at the target, dealing 502 Nature damage.
188443	Chain Lightning	api	Hurls a lightning bolt at the enemy, dealing 278 Nature damage and then jumping to additional nearby enemies. Affects 3 total targets
188499	Blade Dance	api	Strike nearby enemies for 50 Physical damage. Deals reduced damage beyond 5 targets.
188501	Spectral Sight	api	Allows you to see enemies and treasures through physical barriers, as well as enemies that are stealthed and invisible. Lasts 8 sec.\n\nLoss of control effects disrupt the sight.
189110	Infernal Strike	api	Leap through the air toward a targeted location, dealing 22 Fire damage to all enemies within 6 yards.
190319	Combustion	api	Engulfs you in flames for 10 sec, increasing your spells' critical strike chance by 100%.\n\nCastable while casting other spells.
190336	Conjure Refreshment	api	Conjures mana food for you and your allies. Conjured items disappear if logged out for more than 15 minutes.
190356	Blizzard	api	Ice shards pelt the target area, dealing 1,422 Frost damage over 10.7 sec and reducing movement speed by 50% for 3 sec.\n\nThis spell is cast at a selected location
190447	Brain Freeze	api	Frostbolt has a 25% chance to reset the remaining cooldown on Flurry and cause your next Flurry to deal 50% increased damage.
190456	Ignore Pain	api	Fight through the pain, ignoring 50% of damage taken for 12 sec sec or until 451 damage has been prevented.
190778	Sindragosa's Fury	api	Summons Sindragosa, who breathes frost on all enemies within 40 yd in front of you, dealing 146 Frost damage and slowing movement speed by 50% for 10 sec.
190780	Frost Breath	api	Summons Sindragosa, who breathes frost on all enemies within 40 yd in front of you, dealing 148 Frost damage and slowing movement speed by 50% for 10 sec.
190784	Divine Steed	api	Leap atop your Charger for 3 sec, increasing movement speed by 100%. Usable while indoors or in combat.
190925	Harpoon	api	Hurls a harpoon at an enemy, rooting them in place for 3 sec and pulling you to them.
191034	Starfall	api	Calls down waves of falling stars upon enemies within 40 yds, dealing 876 Astral damage over 8 sec. Multiple uses of this ability may overlap.
191384	Aspect of the Beast	api	Increases the damage of Bite, Claw, Smack and the effectiveness of your pet's unique abilities by 30%.\n\nIncreases the effectiveness of your pet's Predator's Thirst, Endurance Training, and Pathfinding passives by 50%.
191427	Metamorphosis	api	Leap into the air and land with explosive force, dealing 15 Chaos damage to enemies within 8 yds, and stunning them for 3 sec. Players are Dazed for 3 sec instead.\n\nUpon landing, you are transformed into a hellish demon for 20 sec, greatly empowering your Chaos Strike and Blade Dance abilities and gaining 20% Haste.
191634	Stormkeeper	api	Charge yourself with lightning, causing your next 2 Lightning Bolts to deal 150% more damage, and also causes your next 2 Lightning Bolts or Chain Lightings to be instant cast and trigger an Elemental Overload on every target.
191717	Fury of the Storms	api	Casting Stormkeeper summons a Greater Storm Elemental to hurl gusts of wind at your enemies for 10 sec.
191861	Power of the Maelstrom	api	Casting Lava Burst has a 15% chance to cause your next Lightning Bolt or Chain Lightning cast to trigger Elemental Overload an additional time, stacking up to 2 times.
192058	Capacitor Totem	api	Summons a totem at the target location that gathers electrical energy from the surrounding air and explodes after 2 sec, stunning all enemies within 8 yards for 3 sec.
192063	Gust of Wind	api	A gust of wind hurls you forward.
192077	Wind Rush Totem	api	Summons a totem at the target location for 15 sec, continually granting all allies who pass within 10 yards 40% increased movement speed for 5 sec.
192081	Ironfur	api	Increases armor by 124 for 7 sec.
192082	Wind Rush	db2-template	Movement speed increased by $s1%.
192088	Graceful Spirit	api	Reduces the cooldown of Spiritwalker's Grace by 30 sec and increases your movement speed by 20% while it is active.
192106	Lightning Shield	api	Surround yourself with a shield of lightning for 1 hour.\n\nMelee attackers have a 100% chance to suffer 82 Nature damage.\n\nOnly one Elemental Shield can be active on the Shaman at a time.
193063	Protective Light	api	Casting Flash Heal on yourself reduces all damage you take by 10% for 10 sec.
193134	Castigation	api	Penance fires one additional bolt of holy light over its duration.
193155	Enlightenment	api	You regenerate mana 10% faster.
193157	Light's Resurgence	api	Your Prayer of Mending has a 12% chance to leave a Renew on each target it heals.\n\n Renew\nFill the target with faith in the light, healing for 1,528 over 15 sec.
193265	Hatchet Toss	api	Tosses a hatchet at an enemy, dealing 35 Physical damage.
193455	Cobra Shot	api	A quick shot causing 110 Physical damage.\n\nReduces the cooldown of Kill Command by 1 sec.
193531	Deeper Stratagem	api	Gain 1 additional max combo point.\n\nYour finishing moves that consume more than 5 combo points have increased effects, and your finishing moves deal 5% increased damage.
193532	Scent of Blood	api	Activating Bestial Wrath grants 1 charge of Barbed Shot.
193537	Weaponmaster	api	Backstab and Shadowstrike have a 15% chance to create a Shadow Clone that repeats the attack for 50% of normal damage as Shadow.
193539	Alacrity	api	Haste increased by 1.5%.
193546	Iron Stomach	api	Increases the healing you receive from Crimson Vial, healing potions, and healthstones by 25%.
193753	Dreamwalk	api	Teleports the caster to the Emerald Dreamway.\n\nCasting Dreamwalk again while in the Emerald Dreamway will return you back to near your departure point.
193759	Teleport: Hall of the Guardian	api	Teleports you to the Hall of the Guardian.
193876	Shamanism	api	Your Heroism spell now has a 60 sec cooldown, but increases Haste by 15%, and only affects you and your friendly target when cast for 10 sec.\n\nIn addition, Heroism is no longer affected by Exhaustion.
194153	Starfire	api	Call down a burst of energy, causing 388 Arcane damage to the target, and 267 Arcane damage to all other enemies within 10 yards. Deals reduced damage beyond 8 targets.\n\nGenerates 8 Astral Power.
194223	Celestial Alignment	api	Celestial bodies align, maintaining both Eclipses and granting 10% haste for 15 sec.
194466	Phoenix's Flames	api	Hurls a Phoenix that causes 369 Fire damage to the target and splashes 123 Fire damage to other nearby enemies. This damage is always a critical strike.
194509	Power Word: Radiance	api	A burst of light heals the target and 4 injured allies within 40 yards for 2,153, and applies Atonement for 60% of its normal duration.
194595	Lock and Load	api	Your ranged auto attacks have a 10% chance to trigger Lock and Load, causing your next Aimed Shot to cost no Focus and be instant.
194662	Rapid Decomposition	api	Your Blood Plague and Death and Decay deal damage 15% more often.\n\nAdditionally, your Blood Plague leeches 50% more Health.
194878	Icy Talons	api	Your Runic Power spending abilities increase your melee attack speed by 6% for 10 sec, stacking up to 3 times.
194912	Gathering Storm	api	Each Rune spent during Remorseless Winter increases its damage by 10%, and extends its duration by 0.5 sec.
194913	Glacial Advance	api	Summon glacial spikes from the ground that advance forward, each dealing 22 Frost damage near their eruption point and applying Razorice.
194916	All Will Serve	api	Raise Dead summons an additional skeletal archer at your command that shoots Blighted Arrows.\n\nBlighted Arrow\nAn unholy arrow that deals 11 Shadow damage. When consuming Sudden Doom, your Death Coil commands your archer to fire an additional Blighted Arrow at 80% effectiveness. Epidemic will instead cause Blighted Arrow to ricochet and hit up to 5 additional targets.
195181	Bone Shield	db2-template	Surrounds you with a barrier of whirling bones, increasing Armor by ${$s1*$STR/100}$?s316746[, and your Haste by $s4%][]. Each melee attack against you consumes a charge. Lasts $d or until all charges are consumed.
195182	Marrowrend	api	Smash the target, dealing 52 Physical damage and generating 3 charges of Bone Shield.\n\n Bone Shield\nSurrounds you with a barrier of whirling bones, increasing Armor by 110. Each melee attack against you consumes a charge. Lasts 30 sec or until all charges are consumed.
195292	Death's Caress	api	Reach out with necrotic tendrils, dealing 15 Shadow damage and applying Blood Plague to your target and generating 2 Bone Shield charges.\n\n Blood Plague\nA shadowy disease that drains 93 health from the target over 24 sec.
195457	Grappling Hook	api	Launch a grappling hook and pull yourself to the target location.
195645	Wing Clip	api	Maims the target, reducing movement speed by 50% for 15 sec.
195679	Bloodworms	api	Your auto attacks have a chance to summon a Bloodworm.\n\nBloodworms deal minor damage to your target for 15 sec and then burst, healing you for 15% of your missing health.\n\nIf you drop below 50% health, your Bloodworms will immediately burst and heal you.
196103	Absolute Corruption	api	Corruption is now permanent and deals 15% increased damage.\n\nDuration reduced to 24 sec against players.
196226	Sow the Seeds	api	Seed of Corruption now embeds demon seeds into 2 additional nearby enemies at 50% effectiveness.
196277	Implosion	api	Demonic forces suck 6 of your Wild Imps toward the target, and then cause them to violently explode, dealing 510 Shadowflame damage to all enemies within 8 yards.
196406	Backdraft	api	Conflagrate reduces the cast time of your next Incinerate, Chaos Bolt, or Soul Fire by 30%. Maximum 2 charges.
196408	Fire and Brimstone	api	Incinerate now also hits all enemies near your target for 25% damage.
196439	Purification	api	Purify now has a maximum of 2 charges.\n\nRemoving harmful effects with Purify grants your target an absorption shield equal to 5% of their maximum health. Lasts 8 sec.
196447	Channel Demonfire	api	Launches 15 bolts of felfire over 2.7 sec at random targets afflicted by your Immolate within 40 yds. Each bolt deals 147 Fire damage to the target and 74 Fire damage to nearby enemies.
196586	Dimensional Rift	api	Rips a hole in time and space, opening a portal that damages your target.\n\nGenerates 3 Soul Shard Fragments.
196704	Psychic Voice	api	Reduces the cooldown of Psychic Scream by 10 sec.
196707	Afterlife	api	Increases the duration of Spirit of Redemption by 50% and the range of its spells by 50%.
196718	Darkness	api	Summons darkness around you in an 8 yd radius, granting friendly targets a 15% chance to avoid all damage from an attack. Lasts 8 sec.\n\nChance to avoid damage increased by 100% when not in a raid.
196730	Special Delivery	api	Drinking from your Brews has a 100% chance to toss a keg high into the air that lands nearby after 3 sec, dealing 35 Physical damage to all enemies within 8 yards and reducing their movement speed by 50% for 15 sec.
196736	Blackout Combo	api	Blackout Kick also empowers your next ability:\n\n Tiger Palm: Damage increased by 100%.\n\n Keg Smash: Reduces the remaining cooldown on your Brews by 2 additional sec.
196737	High Tolerance	api	Stagger is 5% more effective at delaying damage.\n\nPurifying Brew refunds 4.0 sec of its cooldown if cast at Elevated Stagger.
196740	Hit Combo	api	Each successive attack that triggers Combo Strikes in a row grants 1% increased damage, stacking up to 5 times.
196770	Remorseless Winter	api	Drain the warmth of life from all nearby enemies within 8 yards, dealing 28 Frost damage over 8 sec and reducing their movement speed by 20%.
196819	Eviscerate	api	Finishing move that disembowels the target, causing damage per combo point.\n   1 point  : 13 damage\n   2 points: 26 damage\n   3 points: 39 damage\n   4 points: 52 damage\n   5 points: 67 damage
196840	Frost Shock	api	Chills the target with frost, causing 279 Frost damage and reducing the target's movement speed by 50% for 6 sec.
196861	Iron Wire	api	Garrote silences the target for 5 sec when used from Stealth.\n\nEnemies silenced by Garrote deal 15% reduced damage for 5 sec.
196884	Feral Lunge	api	Lunge at your enemy as a ghostly wolf, biting them to deal 3 Physical damage.
196912	Shadow Techniques	api	Your auto attacks have a 28% chance to generate 4 Energy and store 1 combo point, up to 10.\n\nAttacks that generate combo points can expend those stored to generate additional combo points, up to your maximum.
196922	Hit and Run	api	Movement speed increased by 15%.
196926	Crusader's Might	api	Holy Shock reduces the cooldown of Judgment by 1.5 sec and Crusader Strike reduces the cooldown of Judgment by 1.5 sec.
196938	Quick Draw	api	Opportunity increases the damage of Pistol Shot by an additional 20%. Each charge of Opportunity consumed by Pistol Shot generates 1 combo point.
196976	Master of Shadows	api	Gain 30 Energy over 3 sec when you enter Stealth or activate Shadow Dance.
196985	Light of the Naaru	api	The cooldowns of your Holy Words are reduced by an additional 10% when you cast the relevant spells.
197000	Maneuverability	api	Sprint has 50% reduced cooldown and 50% reduced duration.
197045	Shield Discipline	api	When your Power Word: Shield is completely absorbed, you restore 0.5% of your maximum mana.
197061	Stonebark	api	Ironbark increases healing from your heal over time effects by 20%.
197073	Inner Peace	api	Reduces the cooldown of Tranquility by 30 sec.\n\nWhile channeling Tranquility, you take 20% reduced damage and are immune to knockbacks.
197214	Sundering	api	Shatters a line of earth in front of you with your main hand weapon, causing 89 Flamestrike damage to any enemy hit.
197446	Beacon of the Lightbringer	api	Mastery: Lightbringer now increases your healing based on the target's proximity to either you or your Beacon of Light, whichever is closer.
197524	Astral Influence	api	Increases the range of all of your spells by 5 yards.
197535	Strength of Soul	api	Your Power Word: Shield reduces all Physical damage taken by 15% while the shield persists.
197626	Starsurge	api	Launch a surge of stellar energies at the target, dealing 796 Astral damage.
197628	Starfire	api	Call down a burst of energy, causing 360 Arcane damage to the target, and 126 Arcane damage to all other enemies within 5 yards. Deals reduced damage beyond 8 targets.
197721	Flourish	api	Tranquility extends the duration of all of your heal over time effects by 2 sec every 0.9 sec.
197835	Shuriken Storm	api	Sprays shurikens at all enemies within 10 yards, dealing 22 Physical damage. Deals reduced damage beyond 8 targets.\n\nAwards 1 combo point per target hit.
197862	Archangel	api	Evangelism increases your healing and absorption effects by 15% for 18 sec.
197895	Focused Thunder	api	Thunder Focus Tea now empowers your next 2 spells.
197899	Silhouette	api	Shadowstep's cooldown is reduced by 67% when cast on a friendly target.
197900	Mist Wrap	api	Increases Enveloping Mist's duration by 1 sec and its healing bonus by 10%.
197915	Lifecycles	api	Vivify has a 20% chance to cause your next Rising Sun Kick or Enveloping Mist to generate 1 stack of Mana Tea.\n\nEnveloping Mist and Rising Sun Kick have a 20% chance to cause your next Vivify to generate 1 stack of Mana Tea.
198013	Eye Beam	api	Blasts all enemies in front of you, for up to 281 Chaos damage over 1.8 sec. Deals reduced damage beyond 5 targets.
198020	Turn the Tables	api	After coming out of a stun, you deal 10% increased damage for 12 sec.
198068	Power of the Dark Side	api	Shadow Word: Pain has a chance to empower your next Penance with Shadow, increasing its effectiveness by 30%.
198100	Kleptomania	api	Unleash a flurry of disruptive magic onto your target, stealing a beneficial magic effect every 0.4 sec for 3.6 sec.\n\nCastable while moving, but movement speed is reduced by 40% while channeling.
198103	Earth Elemental	api	Calls forth a Greater Earth Elemental to protect you and your allies, generating high threat and taunting enemies periodically for 30 sec.
198145	System Shock	api	Casting Envenom with at least 5 combo points on a target afflicted by your Garrote, Rupture, and lethal poison deals 11 Nature damage, and reduces their movement speed by 90% for 2 sec.
198148	Concentrated Coolness	api	Frozen Orb's damage is increased by 10% and is now castable at a location with a 40 yard range but no longer moves.
198589	Blur	api	Reduces all damage taken by 25% for 10 sec.
198675	Dagger in the Dark	api	Each second while Stealth is active, nearby enemies within 12 yards take an additional 2% damage from you for 10 sec. Stacks up to 6 times.
198793	Vengeful Retreat	api	Remove all snares and vault away. Nearby enemies take 5 Physical damage.
198898	Song of Chi-Ji	api	Conjures a cloud of hypnotic mist that slowly travels forward. Enemies touched by the mist fall asleep, Disoriented for 20 sec.
198912	Shield Bash	api	When Shield Slam is used on targets that are casting, it reduces their damage done by 15% for 8 sec and the cooldown is instantly reset.
199023	Morale Killer	api	Reduces the cooldown of Demoralizing Shout by 15 sec, and Demoralizing Shout now reduces the damage enemies deal to all targets, not just you.
199045	Thunderstruck	api	After casting Avatar, Shockwave, or Stormbolt, your next Thunder Clap roots all targets it damages for 4 sec.
199259	Driven to Madness	api	While Voidform is not active, being attacked will reduce the cooldown of Voidform by 3 sec.
199261	Death Wish	api	Increases your damage taken and done by 10% for 15 sec at the cost of 10% of your health. Stacks up to 5 times.
199324	Divine Vision	api	Increases the range of your Aura by 30 yards and reduces the cooldown of Aura Mastery by 30 sec.
199330	Cleanse the Weak	api	When you Cleanse an ally, 1 ally within 40 yds is dispelled of the same effects, but the cooldown of Cleanse is increased by 4 sec.\n\nHealing allies with your Flash of Light or Holy Light will cleanse all Diseases and Poisons from the target.
199422	Holy Ritual	api	Allies are healed for 7,552 when you cast Blessing of Protection or Blessing of Sacrifice on them.
199445	Mind Trauma	api	Siphon haste from enemies, stealing 2% haste per stack of Mind Trauma, stacking up to 9 times. Fully channeled Mind Flays grant 1 stack of Mind Trauma and fully channeled Void Torrents grant 3 stacks of Mind Trauma. Lasts 15 sec.\n\nYou can only gain 3 stacks of Mind Trauma from a single enemy.
199452	Ultimate Sacrifice	api	Your Blessing of Sacrifice now transfers 100% of all damage to you into a damage over time effect, but lasts 6 sec and no longer cancels when you are below 20% health.
199456	Spreading the Word	api	Your allies affected by your Aura gain an effect after you cast Blessing of Protection or Blessing of Freedom.\n\n Blessing of Protection\nPhysical damage reduced by 30% for 6 sec.\n\n Blessing of Freedom\nCleared of all movement impairing effects.
199483	Camouflage	api	You and your pet blend into the surroundings and gain stealth for 1 min. While camouflaged, you will heal for 2% of maximum health every 1 sec.
199484	Psychic Link	api	Your direct damage spells inflict 25% of their damage on all other targets afflicted by your Vampiric Touch within 40 yards.\n\nDoes not apply to damage from Shadowy Apparitions, Shadow Word: Pain, and Vampiric Touch.
199530	Stomp	api	When you cast Barbed Shot, your pet stomps the ground, dealing 50 Physical damage to all nearby enemies.
199532	Killer Cobra	api	While Bestial Wrath is active, Cobra Shot resets the cooldown on Kill Command.
199542	Steed of Glory	api	Your Divine Steed lasts for an additional 2 sec.\n\nWhile active you become immune to movement impairing effects, and you knock back enemies that you move through.
199719	Shroud of Winter	api	Enemies within 8 yards of you become shrouded in winter, reducing the range of their spells and abilities by 30%.
199720	Decomposing Aura	api	All enemies within 8 yards slowly decay, losing up to 3% of their max health every 2 sec. Max 5 stacks. Lasts 6 sec.
199736	Find Treasure	api	You can sense nearby treasure, making it appear on the minimap. Lasts until canceled.
199921	Trailblazer	api	Your movement speed is increased by 30% anytime you have not attacked for 3 sec.
200025	Beacon of Virtue	api	Apply a Beacon of Light to your target and 4 injured allies within 30 yds for 9 sec.\n\nAll affected allies will be healed for 10% of the amount of your other healing done.
200072	Torrent	api	Riptide's initial heal is increased 20% and has a 10% increased critical strike chance.
200076	Deluge	api	Healing Wave and Chain Heal heal for an additional 15% on targets affected by your Healing Rain or Riptide.
200128	Trail of Light	api	25% of healing done by Flash Heal is replicated to the previous target you healed with those spells.
200183	Apotheosis	api	Reset the cooldown of your Holy Words, and enter a pure Holy form for 20 sec, increasing the cooldown reductions to your Holy Words by 200% and reducing their cost by 50%.
200199	Censure	api	Holy Word: Chastise stuns the target for 4 sec and is not broken by damage.
200209	Guardian Angel	api	When Guardian Spirit saves the target from death, it does not expire.\n\nWhen Guardian Spirit expires without saving the target from death, reduce its remaining cooldown to 60 seconds.
200383	Prosperity	api	Swiftmend now has 2 charges.
200390	Cultivation	api	When Rejuvenation heals a target below 60% health, they are instantly healed for 115.
200430	Protection of Tyr	api	Aura Mastery also increases all healing received by party or raid members within 40 yards by 10%.
200567	Crescent Burn	api	Using Moonfire on a target already afflicted by Moonfire's damage over time effect deals 35% additional direct damage.
200586	Fel Fissure	api	Chaos Bolt creates a 5 yd wide eruption of Felfire under the target, reducing movement speed by 50% and reducing all healing received by 25% on all enemies within the fissure. Lasts 6 sec.
200652	Tyr's Deliverance	api	Releases the Light within yourself, healing 5 injured allies instantly and an injured ally every 0.9 sec within 40 yds for 133.\n\nAllies healed also receive 10% increased healing from your Holy Light, Flash of Light, and Holy Shock spells for 12 sec.
200733	Airborne Irritant	api	Blind has 50% reduced cooldown, 70% reduced duration, and applies to all nearby enemies.
200758	Gloomblade	api	Punctures your target with your shadow-infused blade for 43 Shadow damage, bypassing armor.\n\nAwards 1 combo point.
200829	Plea	api	A quick, efficient plea to heal an ally for 1,140.
200854	Gory Fur	api	Mangle has a 15% chance to reduce the Rage cost of your next Ironfur by 25%.
200931	High Winds	api	Increases the range of Cyclone, Typhoon, and Entangling Roots by 5 yds.
201372	Ride the Wind	api	Flying Serpent Kick clears all snares from you when used and forms a path of wind in its wake, causing all allies who stand in it to have 30% increased movement speed and to be immune to movement slowing effects.
201467	Fury of the Illidari	api	Throws two demonic glaives in a whirlwind of energy, causing 0 Chaos damage over 3 sec to all nearby enemies.
201664	Demoralizing Roar	api	Demoralizes all enemies within 10 yards, reducing the damage they do by 20% for 8 sec.
201900	Hot Hand	api	Melee auto-attacks with Flametongue Weapon active have a 5% chance to reduce the cooldown of Lava Lash by 25% and increase the damage of Lava Lash by 20% for 8 sec.\n\nMay not occur during an active Hot Hand.
202021	Predator	api	Tiger's Fury lasts 5 additional seconds.\n\nYour combo point-generating abilities' direct damage is increased by 40% of your Haste.
202031	Sabertooth	api	Ferocious Bite deals 15% increased damage.\n\nFor each Combo Point spent, Ferocious Bite's primary target takes 6% increased damage from your Cat Form bleed and other periodic abilities for 4 sec.
202095	Indomitable	api	Your maximum health is increased by 10% and every 15 Rage you spend heals you for 1% of your maximum health.
202107	Microbrew	api	Reduces the cooldown of Fortifying Brew by 50%.
202137	Sigil of Silence	api	Place a Sigil of Silence at the target location that activates after 2 sec.\n\nSilences all enemies affected by the sigil for 2 sec.
202138	Sigil of Chains	api	Place a Sigil of Chains at the target location that activates after 2 sec.\n\nAll enemies affected by the sigil are pulled to its center and are snared, reducing movement speed by 70% for 6 sec.
202162	Avert Harm	api	Guard the 4 closest players within 15 yards for 15 sec, allowing you to Stagger 20% of damage they take.
202163	Bounding Stride	api	Reduces the cooldown of Heroic Leap by 15 sec and Heroic Leap also increases your movement speed by 70% for 3 sec.
202168	Impending Victory	api	Instantly attack the target, causing 20 damage and healing you for 30% of your maximum health.\n\nKilling an enemy that yields experience or honor resets the cooldown of Impending Victory and makes it cost no Rage.
202226	Entangling Claws	api	Entangling Roots is now an instant cast spell with a 6 second cooldown but with a 10 yard range. It can also be cast while in shapeshift forms.
202246	Overrun	api	Charge to an enemy, stunning them for 3 sec and knocking back their allies within 15 yards.
202316	Fervor of Battle	api	If Cleave or Whirlwind hits 3 or more targets you also Slam your primary target. This Slam deals 50% additional damage.
202335	Double Barrel	api	Your next Keg Smash deals 50% additional damage, and stuns all targets it hits for 3 sec.
202342	Shooting Stars	api	Moonfire and Sunfire damage over time has a chance to call down a falling star, dealing 258 Astral damage and generating 2 Astral Power.
202345	Starlord	api	Starsurge and Starfall grant you 2% Haste for 20 sec or until you enter a new Eclipse.\n\nStacks up to 3 times. Gaining a stack does not refresh the duration.
202370	Mighty Ox Kick	api	You perform a Mighty Ox Kick, hurling your enemy a distance behind you.
202424	Chrysalis	api	Reduces the cooldown of Life Cocoon by 45 sec.
202430	Nature's Balance	api	While in combat you generate 1 Astral Power every 2 sec.\n\nWhile out of combat your Astral Power rebalances to 50 instead of depleting to empty.
202560	Best Served Cold	api	Your dodges and parries make your Revenge cost no Rage 20% more frequently and increase the damage your free Revenges deal by 15%. Revenge increases the damage of your next Thunder Clap by 8%.
202603	Into the Fray	api	You gain 2% Haste for each enemy or ally within 10 yards, up to 8% Haste.
202626	Leader of the Pack	api	While in Cat Form, you increase the movement speed of raid members within 20 yards by 10%.\n\nLeader of the Pack also causes allies to heal themselves for 3% of their maximum health when they critically hit with a direct attack. The healing effect cannot occur more than once every 8 sec.
202727	Rot and Wither	api	Your Death and Decay rots enemies each time it deals damage, absorbing healing equal to 100% of damage dealt.
202743	Booming Voice	api	Demoralizing Shout also generates 20 Rage and increases damage you deal to affected targets by 20%.
202746	Survival Tactics	api	Feign Death reduces damage taken by 90% for 2 sec.
202770	Fury of Elune	api	Calls down a beam of pure celestial energy that follows the enemy, dealing up to 1,100 Astral damage over 8 sec within its area. Damage reduced on secondary targets.\n\nGenerates 40 Astral Power over its duration.
202918	Light of the Sun	api	Reduces the remaining cooldown on Solar Beam by 15 sec when it interrupts the primary target.
203173	Death Chain	api	Chains 3 enemies together, dealing 10.2 Shadow damage and causing 20% of all damage taken to also be received by the others in the chain. Lasts for 10 sec.
203177	Heavy Repercussions	api	Shield Slam generates 2 more Rage and extends the duration of Shield Block by 1.0 sec.
203201	Crackling Thunder	api	Thunder Clap's radius is increased by 50% and it reduces affected target's movement speed by an additional 20%.
203224	Fresh Wound	api	Rake has a 100% increased critical strike chance if used on a target that doesn’t already have Rake active.
203235	Hunting Pack	api	Aspect of the Cheetah has 50% reduced cooldown and grants its effects to allies within 15 yds.
203242	Wicked Claws	api	Infected Wounds can now stack up to 2 times, and reduces 8% of all healing received by the target per stack.\n\nInfected Wounds can now also be applied from Rip.
203280	World in Flames	api	Empower Flamestrike, dealing up to 50% more damage based on enemies' distance to the center of Flamestrike.
203286	Greater Pyroblast	api	Hurls an immense fiery boulder that deals up to 30% of the target's total health in Fire damage.
203340	Diamond Ice	api	Victims of Freezing Trap can no longer be damaged or healed.  Freezing Trap is now undispellable, but has a 4 sec duration.
203415	Fury of the Eagle	api	Furiously strikes all enemies in front of you, dealing 748 Physical damage over 2.7 sec. Critical strike chance increased by 50% against any target below 20% health. Deals reduced damage beyond 8 targets.
203524	Neltharion's Fury	api	Enter a defensive posture, critically blocking all attacks while a stream of shadowflame erupts from Scale of the Earth-Warder, dealing 40 Shadowflame over 3 sec to all enemies in front of you. You can use defensive abilities while this is active.
203550	Blind Fury	api	Eye Beam generates 30 Fury every second, has 10% increased duration, and deals 10% increased damage.
203624	Early Spring	api	Wild Growth is now instant cast, and when you heal 6 allies with Wild Growth you gain Full Bloom. This effect has a 30 sec cooldown.\n\nFull Bloom\nYour next Wild Growth applies Lifebloom to all targets at 100% effectiveness. Lasts for 30 sec.
203720	Demon Spikes	api	Surge with fel power, increasing your Armor by 75.
203953	Brambles	api	Sharp brambles protect you, absorbing and reflecting up to 7 damage from each attack.\n\nWhile Barkskin is active, the brambles also deal 2 Nature damage to all nearby enemies every 1 sec.
203962	Blood Frenzy	api	Thrash also generates 3 Rage each time it deals damage, on up to 5 targets.
203964	Galactic Guardian	api	Your damage has a 5% chance to trigger a free automatic Moonfire on that target.\n\n Moonfire:\nWhen this occurs, the next Moonfire you cast generates 8 Rage, and deals 300% increased direct damage.\n\n Red Moon:\nWhen this occurs, you gain 1 charge of Lunar Wrath. Each 20 Rage you spend while Red Moon is active consumes a stack to deal 380 additional Arcane damage to its target and heal you for 494.
203965	Survival of the Fittest	api	Reduces the cooldowns of Barkskin and Survival Instincts by 12%.
203981	Soul Fragments	db2-plain	Consuming a nearby Soul Fragment heals you.
204018	Blessing of Spellwarding	api	Blesses a party or raid member, granting immunity to magical damage and harmful effects for 10 sec.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.\n\nShares a cooldown with Blessing of Protection.
